th	phi	th1	phi1	sign_l
2.609119322472879	0.0	0.0	1.172654582424157	1.0
2.66236665558457	0.0	0.0	1.1200613804116244	1.0
2.7156139886962616	0.0	0.0	1.0562517776191411	1.0
2.768861321807953	0.0	0.0	0.9762279631635399	1.0
2.8221086549196444	0.0	0.0	0.8722613937864957	1.0
2.875355988031336	0.0	0.0	0.73189669122506	1.0
2.9286033211430276	0.0	0.0	0.5319691343346191	1.0
2.981850654254719	0.0	0.0	0.2255222987568473	1.0
3.0350979873664103	0.0	0.0	-0.2883414300672898	1.0
3.0883453204781017	0.0	0.0	-1.2317126882118743	1.0
3.141592653589793	0.0	0.0	-2.935188435792713	1.0
0.0	0.10649466622338281	0.0	6.076781089310511	1.0
0.05324733311169141	0.10649466622338281	-1443617.4682509974	7709144.863256891	1.0
0.10649466622338281	0.10649466622338281	3.1047695224721696	2.845502914458727	1.0
0.15974199933507421	0.10649466622338281	0.07681974071639092	2.9220400422657486	1.0
0.21298933244676563	0.10649466622338281	0.039534399128766155	2.614796846067254	1.0
0.26623666555845704	0.10649466622338281	0.032540183765297194	2.413786363134161	1.0
0.31948399867014843	0.10649466622338281	0.02976187579690669	2.2731133140065403	1.0
0.37273133178183987	0.10649466622338281	0.02830770592392488	2.1686638280420394	1.0
0.42597866489353126	0.10649466622338281	0.027456403893564428	2.088250120230247	1.0
0.47922599800522264	0.10649466622338281	0.0268915993330338	2.0238424402210025	1.0
0.5324733311169141	0.10649466622338281	0.026518006141969263	1.9712596120556591	1.0
0.5857206642286055	0.10649466622338281	0.026241280316125756	1.9270298440977214	1.0
0.6389679973402969	0.10649466622338281	0.02603067299449124	1.8891757001727267	1.0
0.6922153304519882	0.10649466622338281	0.025869325536431346	1.8562998323996425	1.0
0.7454626635636797	0.10649466622338281	0.02574813085969118	1.8273844189458355	1.0
0.7987099966753711	0.10649466622338281	0.025662239095311207	1.8016644924080716	1.0
0.8519573297870625	0.10649466622338281	0.025583012116180075	1.778342831157425	1.0
0.9052046628987539	0.10649466622338281	0.025533904672601797	1.7571856785662576	1.0
0.9584519960104453	0.10649466622338281	0.02545934251904859	1.7374598272380462	1.0
1.0116993291221368	0.10649466622338281	0.025441336621370735	1.7194354758929231	1.0
1.0649466622338282	0.10649466622338281	0.025394846381739212	1.7023570474570435	1.0
1.1181939953455196	0.10649466622338281	0.02537687532852206	1.6863603154624724	1.0
1.171441328457211	0.10649466622338281	0.025327319346299608	1.6710097843340241	1.0
1.2246886615689023	0.10649466622338281	0.025338140879279308	1.6565416159832678	1.0
1.2779359946805937	0.10649466622338281	0.025316619330904403	1.6424831679500984	1.0
1.331183327792285	0.10649466622338281	0.025293171921779017	1.6288590368562001	1.0
1.3844306609039765	0.10649466622338281	0.02529998359352555	1.6156410346365295	1.0
1.437677994015668	0.10649466622338281	0.025272862207510287	1.6026213553600643	1.0
1.4909253271273595	0.10649466622338281	0.025276448992401373	1.5898257125717914	1.0
1.5441726602390509	0.10649466622338281	0.02527822972576242	1.577128582454995	1.0
1.5974199933507423	0.10649466622338281	0.025278229726977547	1.564464071134504	1.0
1.6506673264624336	0.10649466622338281	0.025276448993119663	1.551766941017211	1.0
1.703914659574125	0.10649466622338281	0.025272862207639024	1.5389712982297175	1.0
1.7571619926858164	0.10649466622338281	0.02529998359305379	1.5259516189537954	1.0
1.8104093257975078	0.10649466622338281	0.025293171922008036	1.5127336167338505	1.0
